date,orders_total,orders_dc1,orders_dc2,is_promo,day_of_week,month
2024-01-01,3701,2039,1662,0,Monday,1
2024-01-02,3596,2267,1329,0,Tuesday,1
2024-01-03,3340,1784,1556,0,Wednesday,1
2024-01-04,3406,2130,1276,0,Thursday,1
2024-01-05,3120,1963,1157,0,Friday,1
2024-01-06,2085,1333,752,0,Saturday,1
2024-01-07,1971,1187,784,0,Sunday,1
2024-01-08,3538,2220,1318,0,Monday,1
2024-01-09,3786,2253,1533,0,Tuesday,1
2024-01-10,3423,1931,1492,0,Wednesday,1
2024-01-11,3362,2171,1191,0,Thursday,1
2024-01-12,3003,1793,1210,0,Friday,1
2024-01-13,2135,1190,945,0,Saturday,1
2024-01-14,1926,1128,798,0,Sunday,1
2024-01-15,3728,2189,1539,0,Monday,1
2024-01-16,3548,2177,1371,0,Tuesday,1
2024-01-17,3055,2048,1007,0,Wednesday,1
2024-01-18,3362,2069,1293,0,Thursday,1
2024-01-19,2735,1657,1078,0,Friday,1
2024-01-20,2372,1597,775,0,Saturday,1
2024-01-21,1827,1149,678,0,Sunday,1
2024-01-22,4319,2624,1695,0,Monday,1
2024-01-23,3549,2078,1471,0,Tuesday,1
2024-01-24,3513,2141,1372,0,Wednesday,1
2024-01-25,3147,1881,1266,0,Thursday,1
2024-01-26,3384,2039,1345,0,Friday,1
2024-01-27,2196,1404,792,0,Saturday,1
2024-01-28,2150,1255,895,0,Sunday,1
2024-01-29,4108,2528,1580,0,Monday,1
2024-01-30,3855,2422,1433,0,Tuesday,1
2024-01-31,3590,2082,1508,0,Wednesday,1
2024-02-01,3246,1867,1379,0,Thursday,2
2024-02-02,2981,1775,1206,0,Friday,2
2024-02-03,4179,2449,1730,1,Saturday,2
2024-02-04,2088,1324,764,0,Sunday,2
2024-02-05,4076,2323,1753,0,Monday,2
2024-02-06,3454,2079,1375,0,Tuesday,2
2024-02-07,3649,2468,1181,0,Wednesday,2
2024-02-08,3199,1959,1240,0,Thursday,2
2024-02-09,6994,4317,2677,1,Friday,2
2024-02-10,2281,1448,833,0,Saturday,2
2024-02-11,2034,1192,842,0,Sunday,2
2024-02-12,4300,2440,1860,0,Monday,2
2024-02-13,4349,2632,1717,0,Tuesday,2
2024-02-14,3572,2171,1401,0,Wednesday,2
2024-02-15,3302,1820,1482,0,Thursday,2
2024-02-16,3363,2055,1308,0,Friday,2
2024-02-17,2250,1422,828,0,Saturday,2
2024-02-18,2184,1250,934,0,Sunday,2
2024-02-19,4447,2726,1721,0,Monday,2
2024-02-20,4048,2537,1511,0,Tuesday,2
2024-02-21,3741,2310,1431,0,Wednesday,2
2024-02-22,3608,2238,1370,0,Thursday,2
2024-02-23,3689,2186,1503,0,Friday,2
2024-02-24,2369,1341,1028,0,Saturday,2
2024-02-25,2251,1320,931,0,Sunday,2
2024-02-26,4684,2728,1956,0,Monday,2
2024-02-27,4257,2543,1714,0,Tuesday,2
2024-02-28,3758,2378,1380,0,Wednesday,2
2024-02-29,3831,2147,1684,0,Thursday,2
2024-03-01,3352,2025,1327,0,Friday,3
2024-03-02,2434,1382,1052,0,Saturday,3
2024-03-03,2206,1274,932,0,Sunday,3
2024-03-04,4739,2922,1817,0,Monday,3
2024-03-05,4522,2551,1971,0,Tuesday,3
2024-03-06,3971,2470,1501,0,Wednesday,3
2024-03-07,8245,4612,3633,1,Thursday,3
2024-03-08,3439,2132,1307,0,Friday,3
2024-03-09,2438,1349,1089,0,Saturday,3
2024-03-10,2214,1287,927,0,Sunday,3
2024-03-11,4213,2767,1446,0,Monday,3
2024-03-12,4295,2797,1498,0,Tuesday,3
2024-03-13,8220,4830,3390,1,Wednesday,3
2024-03-14,4281,2618,1663,0,Thursday,3
2024-03-15,3980,2531,1449,0,Friday,3
2024-03-16,2665,1653,1012,0,Saturday,3
2024-03-17,2669,1579,1090,0,Sunday,3
2024-03-18,5189,2996,2193,0,Monday,3
2024-03-19,9066,5675,3391,1,Tuesday,3
2024-03-20,4356,2761,1595,0,Wednesday,3
2024-03-21,4103,2672,1431,0,Thursday,3
2024-03-22,3732,2050,1682,0,Friday,3
2024-03-23,2472,1390,1082,0,Saturday,3
2024-03-24,2553,1620,933,0,Sunday,3
2024-03-25,4459,2467,1992,0,Monday,3
2024-03-26,4605,2934,1671,0,Tuesday,3
2024-03-27,4110,2439,1671,0,Wednesday,3
2024-03-28,3807,2224,1583,0,Thursday,3
2024-03-29,4113,2493,1620,0,Friday,3
2024-03-30,2722,1523,1199,0,Saturday,3
2024-03-31,2563,1601,962,0,Sunday,3
2024-04-01,5332,3469,1863,0,Monday,4
2024-04-02,4722,2956,1766,0,Tuesday,4
2024-04-03,4443,2632,1811,0,Wednesday,4
2024-04-04,4331,2398,1933,0,Thursday,4
2024-04-05,4090,2270,1820,0,Friday,4
2024-04-06,2833,1586,1247,0,Saturday,4
2024-04-07,2834,1699,1135,0,Sunday,4
2024-04-08,5546,3346,2200,0,Monday,4
2024-04-09,4815,3014,1801,0,Tuesday,4
2024-04-10,4245,2318,1927,0,Wednesday,4
2024-04-11,4394,2809,1585,0,Thursday,4
2024-04-12,4112,2552,1560,0,Friday,4
2024-04-13,3101,1830,1271,0,Saturday,4
2024-04-14,2792,1575,1217,0,Sunday,4
2024-04-15,5542,3532,2010,0,Monday,4
2024-04-16,4946,2923,2023,0,Tuesday,4
2024-04-17,4345,2604,1741,0,Wednesday,4
2024-04-18,4308,2634,1674,0,Thursday,4
2024-04-19,4255,2436,1819,0,Friday,4
2024-04-20,2665,1576,1089,0,Saturday,4
2024-04-21,2885,1805,1080,0,Sunday,4
2024-04-22,6013,3745,2268,0,Monday,4
2024-04-23,4554,2838,1716,0,Tuesday,4
2024-04-24,4312,2437,1875,0,Wednesday,4
2024-04-25,4489,2661,1828,0,Thursday,4
2024-04-26,4115,2420,1695,0,Friday,4
2024-04-27,3013,1846,1167,0,Saturday,4
2024-04-28,2759,1683,1076,0,Sunday,4
2024-04-29,5269,3185,2084,0,Monday,4
2024-04-30,5470,3686,1784,0,Tuesday,4
2024-05-01,4832,2857,1975,0,Wednesday,5
2024-05-02,4392,2581,1811,0,Thursday,5
2024-05-03,4639,2622,2017,0,Friday,5
2024-05-04,2950,1633,1317,0,Saturday,5
2024-05-05,2642,1488,1154,0,Sunday,5
2024-05-06,5700,3297,2403,0,Monday,5
2024-05-07,5318,3399,1919,0,Tuesday,5
2024-05-08,4928,2962,1966,0,Wednesday,5
2024-05-09,4752,2878,1874,0,Thursday,5
2024-05-10,4496,2684,1812,0,Friday,5
2024-05-11,3147,1922,1225,0,Saturday,5
2024-05-12,2778,1783,995,0,Sunday,5
2024-05-13,5538,2991,2547,0,Monday,5
2024-05-14,5499,3500,1999,0,Tuesday,5
2024-05-15,4929,2585,2344,0,Wednesday,5
2024-05-16,4848,2912,1936,0,Thursday,5
2024-05-17,4064,2705,1359,0,Friday,5
2024-05-18,3037,1884,1153,0,Saturday,5
2024-05-19,3174,1939,1235,0,Sunday,5
2024-05-20,5967,3938,2029,0,Monday,5
2024-05-21,5448,3153,2295,0,Tuesday,5
2024-05-22,5103,3128,1975,0,Wednesday,5
2024-05-23,5232,3229,2003,0,Thursday,5
2024-05-24,4943,2888,2055,0,Friday,5
2024-05-25,2902,1703,1199,0,Saturday,5
2024-05-26,2752,1606,1146,0,Sunday,5
2024-05-27,5394,3250,2144,0,Monday,5
2024-05-28,5220,3217,2003,0,Tuesday,5
2024-05-29,4991,3013,1978,0,Wednesday,5
2024-05-30,4814,2990,1824,0,Thursday,5
2024-05-31,4188,2265,1923,0,Friday,5
2024-06-01,2881,1709,1172,0,Saturday,6
2024-06-02,2841,1617,1224,0,Sunday,6
2024-06-03,6186,3767,2419,0,Monday,6
2024-06-04,5764,3508,2256,0,Tuesday,6
2024-06-05,5442,3246,2196,0,Wednesday,6
2024-06-06,4783,2943,1840,0,Thursday,6
2024-06-07,4756,2995,1761,0,Friday,6
2024-06-08,3360,2009,1351,0,Saturday,6
2024-06-09,2899,1647,1252,0,Sunday,6
2024-06-10,6065,3351,2714,0,Monday,6
2024-06-11,5676,3411,2265,0,Tuesday,6
2024-06-12,4811,2921,1890,0,Wednesday,6
2024-06-13,11308,6455,4853,1,Thursday,6
2024-06-14,4578,2846,1732,0,Friday,6
2024-06-15,3226,1891,1335,0,Saturday,6
2024-06-16,2842,1563,1279,0,Sunday,6
2024-06-17,5737,3658,2079,0,Monday,6
2024-06-18,4907,3112,1795,0,Tuesday,6
2024-06-19,5068,2734,2334,0,Wednesday,6
2024-06-20,5430,3166,2264,0,Thursday,6
2024-06-21,4362,2538,1824,0,Friday,6
2024-06-22,3696,2399,1297,0,Saturday,6
2024-06-23,3199,1909,1290,0,Sunday,6
2024-06-24,5834,3238,2596,0,Monday,6
2024-06-25,5523,3459,2064,0,Tuesday,6
2024-06-26,5021,2827,2194,0,Wednesday,6
2024-06-27,5236,3100,2136,0,Thursday,6
2024-06-28,4713,2718,1995,0,Friday,6
2024-06-29,3405,1985,1420,0,Saturday,6
2024-06-30,6273,3940,2333,1,Sunday,6
2024-07-01,5933,3830,2103,0,Monday,7
2024-07-02,5595,3143,2452,0,Tuesday,7
2024-07-03,4942,3058,1884,0,Wednesday,7
2024-07-04,4463,2579,1884,0,Thursday,7
2024-07-05,4767,2759,2008,0,Friday,7
2024-07-06,2964,1822,1142,0,Saturday,7
2024-07-07,2934,1669,1265,0,Sunday,7
2024-07-08,5813,3569,2244,0,Monday,7
2024-07-09,5659,3519,2140,0,Tuesday,7
2024-07-10,5414,3178,2236,0,Wednesday,7
2024-07-11,5078,3248,1830,0,Thursday,7
2024-07-12,4710,2646,2064,0,Friday,7
2024-07-13,3086,1976,1110,0,Saturday,7
2024-07-14,2929,1586,1343,0,Sunday,7
2024-07-15,5810,3956,1854,0,Monday,7
2024-07-16,5319,3126,2193,0,Tuesday,7
2024-07-17,4887,2761,2126,0,Wednesday,7
2024-07-18,4653,2759,1894,0,Thursday,7
2024-07-19,4416,2510,1906,0,Friday,7
